"model","MAorder","variable","value"
"unc",2,"macoef1_y",0.0486494799738531
"unc",1,"macoef1_y",0.0932788629693526
"net",2,"macoef1_y",0.0686998375717337
"net",1,"macoef1_y",0.091993137757765
"unc",2,"macoef2_y",-0.0263972342169019
"unc",1,"macoef2_y",0
"net",2,"macoef2_y",-0.0139037962676836
"net",1,"macoef2_y",0
"unc",2,"permvar_y",0.039661604688145
"unc",1,"permvar_y",0.038088919315363
"net",2,"permvar_y",0.0286641383606753
"net",1,"permvar_y",0.0278533984297312
"unc",2,"transshockvar_y",0.0299584227765137
"unc",1,"transshockvar_y",0.0321334013882872
"net",2,"transshockvar_y",0.0293022687099981
"net",1,"transshockvar_y",0.0304064672230522
"unc",2,"macoef1_w",0.212332846228988
"unc",1,"macoef1_w",0.15305498885068
"net",2,"macoef1_w",0.205577603789687
"net",1,"macoef1_w",0.150520555849939
"unc",2,"macoef2_w",0.0416085366832799
"unc",1,"macoef2_w",0
"net",2,"macoef2_w",0.0383715746535464
"net",1,"macoef2_w",0
"unc",2,"permvar_w",0.0100803672090011
"unc",1,"permvar_w",0.0109795151680505
"net",2,"permvar_w",0.00979987570920271
"net",1,"permvar_w",0.0105889647238396
"unc",2,"transshockvar_w",0.010196001693834
"unc",1,"transshockvar_w",0.00918833077548333
"net",2,"transshockvar_w",0.0100659004253542
"net",1,"transshockvar_w",0.00913964678383949
"unc",2,"perm_pt",0.145545683938311
"unc",1,"perm_pt",0.143890689937043
"net",2,"perm_pt",0.13480467592268
"net",1,"perm_pt",0.134509198107857
"net",2,"marketperm_pt",0.18484738959447
"net",1,"marketperm_pt",0.177570581972925
"unc",2,"trans_pt",-0.0163919424092116
"unc",1,"trans_pt",-0.0122265699036803
"net",2,"trans_pt",-0.00337827194253349
"net",1,"trans_pt",-0.00168927063890086
"net",2,"markettrans_pt",-0.19885085082406
"net",1,"markettrans_pt",-0.197716749239957
"unc",2,"permsd_w",0.100401031912033
"unc",1,"permsd_w",0.104783181704177
"net",2,"permsd_w",0.0989943216008005
"net",1,"permsd_w",0.102902695415813
"unc",2,"permsd_y",0.199152214871301
"unc",1,"permsd_y",0.195163826861852
"net",2,"permsd_y",0.169304868095029
"net",1,"permsd_y",0.166893374433292
"unc",2,"transshocksd_w",0.100975252878287
"unc",1,"transshocksd_w",0.0958557811270835
"net",2,"transshocksd_w",0.100328961049909
"net",1,"transshocksd_w",0.0956014999037122
"unc",2,"transshocksd_y",0.173085016036957
"unc",1,"transshocksd_y",0.179257918620872
"net",2,"transshocksd_y",0.171179054530623
"net",1,"transshocksd_y",0.174374502789405
"unc",2,"transtotalvar_y",0.057293419172796
"unc",1,"transtotalvar_y",0.0588312504852442
"net",2,"transtotalvar_y",0.0549597961348515
"net",1,"transtotalvar_y",0.0557332056845574
"unc",2,"transtotalvar_w",0.0168366331809128
"unc",1,"transtotalvar_w",0.0159945103645026
"net",2,"transtotalvar_w",0.0167148018815292
"net",1,"transtotalvar_w",0.0159420278158539
"unc",2,"pttransvar_w",1.5394499721286e-05
"unc",1,"pttransvar_w",8.79462548679487e-06
"net",2,"pttransvar_w",6.27240836965162e-07
"net",1,"pttransvar_w",1.59042242647235e-07
"net",2,"marketpttransvar_w",7.69423621798308e-05
"net",1,"marketpttransvar_w",9.15976609311821e-05
"unc",2,"ptpermvar_w",0.000840173431829702
"unc",1,"ptpermvar_w",0.000788613197411573
"net",2,"ptpermvar_w",0.000520893340181126
"net",1,"ptpermvar_w",0.000503943860713417
"net",2,"marketptpermvar_w",0.000344166127699857
"net",1,"marketptpermvar_w",0.000307248582179735
"unc",2,"totalvar_w",0.0277725683214649
"unc",1,"totalvar_w",0.0277714333554515
"net",2,"totalvar_w",0.02703619817175
"net",1,"totalvar_w",0.0270350954426496
"unc",2,"totalvar_y",0.0969550238609411
"unc",1,"totalvar_y",0.0969201698006072
"net",2,"totalvar_y",0.0836239344955268
"net",1,"totalvar_y",0.0835866041142886
"unc",2,"totalsd_y",0.311376016836463
"unc",1,"totalsd_y",0.311320044007139
"net",2,"totalsd_y",0.289178032525859
"net",1,"totalsd_y",0.289113479648197
"unc",2,"totalsd_w",0.166651037564922
"unc",1,"totalsd_w",0.166647632312768
"net",2,"totalsd_w",0.164426877887254
"net",1,"totalsd_w",0.16442352460232
"unc",2,"transtotalsd_y",0.239360437776998
"unc",1,"transtotalsd_y",0.242551541914794
"net",2,"transtotalsd_y",0.234435057392984
"net",1,"transtotalsd_y",0.236078812443128
"unc",2,"transtotalsd_w",0.12975605257911
"unc",1,"transtotalsd_w",0.126469404855493
"net",2,"transtotalsd_w",0.129285737347664
"net",1,"transtotalsd_w",0.126261743279007
"unc",2,"ptpermsd_w",0.028985745321273
"unc",1,"ptpermsd_w",0.0280822576979055
"net",2,"ptpermsd_w",0.0228230878756825
"net",1,"ptpermsd_w",0.0224486939645365
"net",2,"marketptpermsd_w",0.0185517149530672
"net",1,"marketptpermsd_w",0.0175285076997369
"unc",2,"pttranssd_w",0.00392358251108423
"unc",1,"pttranssd_w",0.00296557338246668
"net",2,"pttranssd_w",0.000791985376736946
"net",1,"pttranssd_w",0.000398801006326758
"net",2,"marketpttranssd_w",0.00877167955296081
"net",1,"marketpttranssd_w",0.00957066669209528
