"x_decile","market","within","market_dollars","within_dollars"
1,0.0908899954318921,0.0853450219413362,2010.65862366278,1884.66345187935
2,0.0993510465977516,0.0889692143561007,2698.54829888952,2414.57746958509
3,0.118941981331296,0.100548333233484,3763.0426519583,3177.73799628033
4,0.141956267021866,0.114700175231261,5141.00887202238,4143.55067410917
5,0.166843513880948,0.130761540578522,6879.35223028225,5369.4971531653
6,0.193893468160222,0.148682134612695,9124.99296057558,6956.52222248823
7,0.224354614043531,0.169315388145238,12190.4530999296,9129.5724048499
8,0.261858982247785,0.195046408288094,16924.7722100745,12483.9049422406
9,0.320766164255317,0.235871335843678,27151.2205583145,19712.5873236405
